termName	cui	tty
Acute osteomyelitis	C0158371	disorder
Lipodermatosclerosis	C0406500	disorder
Depression	C0344315	finding
Non-traumatic subdural hematoma	C0542322	disorder
Rehabilitation therapy management	C1444227	procedure
Ostomy care education	C1444235	procedure
Ostomy care education, guidance, and counseling	C1630644	procedure
Family planning education, guidance, and counseling	C1629017	procedure
Complete trisomy 21 syndrome	C0013080	disorder
Cardiac arrest	C0018790	disorder
Posterior capsule opacification	C1444680	disorder
Rotator cuff syndrome	C0263912	disorder
Well child visit	C1444717	procedure
Well child visit, 2 month	C1444721	procedure
Dupuytren's disease	C1444855	disorder
Meningococcus vaccination	C0419706	procedure
Mild pre-eclampsia	C0269658	disorder
Disorder of oral soft tissues	C0266998	disorder
Bronchiolitis	C0006271	disorder
Adenoviral pneumonia	C0276156	disorder
Presbyopia	C0033075	disorder
Angioedema	C0002994	disorder
Iatrogenic Cushing's disease	C0271725	disorder
Acute follicular conjunctivitis	C0155143	disorder
Alcoholic liver damage	C1442981	disorder
Hepatitis C screening	C0948769	procedure
Mixed incontinence	C0869256	finding
Coronary angioplasty	C0190211	procedure
Acquired kyphosis	C0022822	disorder
Acute ischemic heart disease	C1510446	disorder
Rickets	C0035579	disorder
Aftercare	C0001758	regime/therapy
Anemia due to blood loss	C0948824	disorder
Anemia due to chronic blood loss	C0154286	disorder
Autoimmune hemolytic anemia	C0002880	disorder
Pneumonia due to Pseudomonas	C0155860	disorder
Chronic ischemic heart disease	C0264694	disorder
Chronic lung disease	C0746102	disorder
Closed fracture of tibia AND fibula	C0272759	disorder
Disorder of hematopoietic structure	C1532235	disorder
Disorder of rotator cuff	C1532240	disorder
Exudative age-related macular degeneration	C0271084	disorder
Family history of prostate cancer	C1532320	situation
Food allergy	C0016470	disorder
Fracture of lower leg	C1542178	disorder
Fracture of tibia AND fibula	C0159852	disorder
Giant cell arteritis	C0039483	disorder
Hernia of anterior abdominal wall	C0019326	disorder
Blepharitis	C0005741	disorder
Infective eczematoid dermatitis	C0085658	disorder
Internal hordeolum	C0085690	disorder
Kyphosis deformity of spine	C0022821	disorder
Laryngopharyngeal reflux	C1168250	disorder
Leukoplakia of oral mucosa	C0023532	disorder
Lymphoid neoplasm	C0598798	morphologic abnormality
Meningomyelocele	C0025312	disorder
Myocardial ischemia	C0151744	disorder
Neonatal candidiasis	C0276682	disorder
No evidence of recurrence of cancer	C1532381	situation
Nonexudative age-related macular degeneration	C0271083	disorder
Obesity	C0028754	disorder
Onychomycosis	C0040261	disorder
Open fracture of tibia AND fibula	C0272760	disorder
Febrile convulsion	C0009952	finding
Personal history of primary malignant neoplasm of breast	C1387407	situation
Personal history of primary malignant neoplasm of bronchus	C1387400	situation
Personal history of primary malignant neoplasm of kidney	C1387408	situation
Personal history of primary malignant neoplasm of lung	C1387404	situation
Personal history of primary malignant neoplasm of skin	C1387403	situation
Personal history of primary malignant neoplasm of urinary bladder	C1532396	situation
Placental abruption	C0000832	disorder
Plasmacytoma	C0032131	disorder
Pneumocystosis jiroveci pneumonia	C0032305	disorder
Rapid eye movement sleep behavior disorder	C0751772	disorder
Restrictive cardiomyopathy	C0007196	disorder
Retinopathy of prematurity	C0035344	disorder
Rotator cuff tear arthropathy	C0409860	disorder
Simple obesity	C0451819	disorder
Periodontitis	C0031099	disorder
Sweating	C0038990	finding
Swelling of first metatarsophalangeal joint of hallux	C0006386	disorder
Streptococcal tonsillitis	C0275804	disorder
Hypospadias	C0848558	disorder
Cervicovaginal cytology: Low grade squamous intraepithelial lesion	C1562303	finding
Cervicovaginal cytology normal or benign	C1562305	finding
Cervicovaginal cytology: High grade squamous intraepithelial lesion or carcinoma	C1562306	finding
Drug allergy	C0013182	disorder
Elevated erythrocyte sedimentation rate	C0151632	finding
Febrile disorder	C0743841	disorder
Exostosis	C1442903	disorder
Synovitis	C0039103	disorder
Port-wine stain of skin	C0235752	disorder
Advanced maternal age gravida	C1562890	finding
Wound	C0043250	disorder
Family history of renal stone	C1563033	situation
Pain in eye	C0151827	finding
Acquired obstruction of pylorus	C0001173	disorder
Disorder of pinna	C0155402	disorder
Furuncle	C0242301	disorder
Papillary conjunctivitis	C0854165	disorder
Carbuncle	C0007078	disorder
Obstruction of lacrimal canaliculus	C0022906	disorder
Undifferentiated inflammatory polyarthritis	C1692872	disorder
Primary degenerative dementia of the Alzheimer type, senile onset	C0494463	disorder
Hydatidiform mole, benign	C0549315	disorder
Dislocation of shoulder joint	C0037005	disorder
Nasolacrimal duct obstruction	C1281931	disorder
Traumatic AND/OR non-traumatic injury	C0175677	disorder
St. Louis encephalitis virus infection	C0014060	disorder
Blister of skin AND/OR mucosa	C1579830	finding
Sickling disorder due to hemoglobin S	C0002895	disorder
Inflammatory polyarthropathy	C1692324	disorder
Hemoglobin SS disease with crisis	C0238425	disorder
Traumatic injury	C0175677	disorder
Hereditary factor IX deficiency disease	C0008533	disorder
Deformity	C0302142	finding
Systolic heart failure	C1135191	disorder
Hypertrophy of lingual tonsil	C1400137	disorder
Unconscious	C0041657	finding
Closure of patent foramen ovale	C0189967	procedure
Child abuse	C0008060	event
Angioplasty of blood vessel	C0162577	procedure
Diastolic heart failure	C1135196	disorder
Periodic limb movement disorder	C0751774	disorder
Temporomandibular joint disorder	C0039494	disorder
Nodular goiter	C0018023	disorder
Ankle ulcer	C0741085	disorder
Altered mental status	C0278061	finding
Abdominal distension	C0000731	finding
Narrow angle	C1410927	finding
Hyperhomocysteinemia	C0598608	disorder
Carotid bruit	C0007280	finding
Benign neoplasm of oral cavity	C0347197	disorder
Portal cirrhosis	C1622502	disorder
Bacterial vaginosis	C0085166	disorder
Cardiac catheterization	C0018795	procedure
Increased blood eosinophil number	C2240374	finding
Epidermoid cyst	C0014511	disorder
Alcoholic cirrhosis	C0023891	disorder
Accidental poisoning by carbon monoxide	C0261503	disorder
Fluoroscopic angiography of carotid artery	C1636772	procedure
Ketoacidosis in type I diabetes mellitus	C0342294	disorder
Renal disorder associated with type II diabetes mellitus	C1720457	disorder
Ketoacidosis in diabetes mellitus	C0011880	disorder
Retinal detachment	C0035305	disorder
Persistent microalbuminuria associated with type II diabetes mellitus	C1720102	disorder
Ocular hypertension	C0028840	disorder
Penetrating keratoplasty	C0022592	procedure
Prolapse of vaginal vault after hysterectomy	C0156354	disorder
Diabetic oculopathy associated with type I diabetes mellitus	C1720717	disorder
Neurologic disorder associated with type II diabetes mellitus	C1719988	disorder
Neurological disorder associated with type I diabetes mellitus	C1720194	disorder
Closed fracture of vertebral column	C0272504	disorder
Polyneuropathy associated with type II diabetes mellitus	C1720557	disorder
Ketoacidosis in type II diabetes mellitus	C0342295	disorder
Closed fracture of ankle	C0272769	disorder
Renal disorder associated with type I diabetes mellitus	C1719759	disorder
Hypersensitivity reaction	C0020517	disorder
Persistent proteinuria associated with type II diabetes mellitus	C1719887	disorder
Disorder associated with type II diabetes melliltus	C1719939	disorder
Constitutional short stature	C0013336	disorder
Diabetic oculopathy associated with type II diabetes mellitus	C0348919	disorder
Peripheral circulatory disorder associated with type II diabetes mellitus	C1720165	disorder
Degenerative disorder of macula	C0024437	disorder
Vomiting	C0042963	disorder
Facial nerve disorder	C0015464	disorder
Ischemic stroke	C0948008	disorder
Squamous cell carcinoma of chin	C1827502	disorder
Nausea	C0027497	finding
Aspiration pneumonia	C0032290	disorder
Sexual assault	C0237236	finding
Total shoulder replacement	C0186657	procedure
Idiopathic urticaria	C0157741	disorder
Unresponsive	C0237284	finding
Mass lesion of brain	C0742078	finding
Bacillus Calmette-Guerin (BCG) vaccination	C0199804	procedure
Unexplained weight loss	C1828173	finding
Olfactory neuroblastoma	C0206717	disorder
Tendinitis of finger	C1827522	disorder
Diabetic autonomic neuropathy associated with type 2 diabetes mellitus	C1827612	disorder
Refractory migraine without aura	C1827624	disorder
Optic disc edema	C0030353	disorder
Tendinitis of hand	C1828009	disorder
Congestive heart failure	C0018802	disorder
Alcohol-induced psychosis	C0033936	disorder
Polyneuropathy	C0152025	disorder
Clostridium difficile colitis	C0238106	disorder
Midline cystocele	C1456248	disorder
Refractory migraine with aura	C1827052	disorder
Enchondroma	C1704356	morphologic abnormality
Squamous cell carcinoma of auricle of ear	C1827143	disorder
Tenosynovitis of hand	C0744595	disorder
Tendinitis of wrist	C0750461	disorder
Sarcoma of head and neck	C1827431	disorder
Iliotibial band friction syndrome	C1262206	disorder
Purpura	C0034150	finding
Carcinoma of uterine cervix, invasive	C1827747	disorder
Renal failure syndrome	C0035078	disorder
Easy bruising	C0423798	finding
Nontraumatic rotator cuff tear	C1828213	disorder
Delayed hypersensitivity skin test for tuberculin PPD	C0041290	procedure
Sarcoma	C1261473	disorder
Herpes zoster keratoconjunctivitis	C0153027	disorder
Thoracic radiculopathy	C0154737	disorder
Fibroma	C0016045	disorder
Cramp in limb	C0010263	finding
Closed fracture of base of fifth metatarsal bone	C1827851	disorder
Migraine variants, not intractable	C1827966	disorder
Diabetic peripheral neuropathy	C0740447	disorder
Foreign body of neck	C1827090	disorder
Diabetic gastroparesis associated with type 2 diabetes mellitus	C1827179	disorder
Migraine without aura, not refractory	C1827190	disorder
Allergic fungal sinusitis	C1827192	disorder
Punctate keratitis	C0259799	disorder
Insertion of peripherally inserted central catheter	C1827584	procedure
Chemotherapy-induced neutropenia	C1827687	disorder
Stab wound	C0043255	disorder
Myeloproliferative disorder	C0027022	disorder
Blunt injury	C0043253	disorder
Chronic progressive renal failure	C0748315	disorder
Generalized dystonia	C1848954	disorder
Spastic neurogenic bladder	C0750955	finding
Neurogenic bowel	C0695242	disorder
Failed induction of labor	C0269806	disorder
Enlarging abdominal aortic aneurysm	C1960866	disorder
Tendinitis of foot	C1959850	disorder
Bilateral pleural effusion	C0747635	disorder
Mass of pancreas	C0877425	finding
Psychophysiologic insomnia	C1960036	disorder
Fracture malunion	C0158454	disorder
Cervical disc disorder	C0477633	disorder
Cardioverter defibrillator procedure	C1960586	procedure
Inflammation of bursa of olecranon	C0263962	disorder
Fistula of hard palate	C1960030	disorder
Environmental allergy	C0282504	disorder
Chemical burn	C0006435	disorder
Closed fracture of upper end of humerus	C0159678	disorder
Relapsing remitting multiple sclerosis	C0751967	disorder
Chronic pericoronitis	C0266924	disorder
Disorder of urinary bladder	C0005686	disorder
Ileal pouchitis	C1960174	disorder
Sustained ventricular tachycardia	C0750197	disorder
Central pain syndrome	C1536114	disorder
Disorder of the peripheral nervous system	C0031117	disorder
Compression fracture of lumbar spine	C0746011	disorder
Severe persistent asthma	C1960048	disorder
Chronic atrial fibrillation	C0694539	disorder
Anorectal disorder	C0687707	disorder
Chronic hypercapnic respiratory failure	C1960052	disorder
Splinter foreign body	C1960195	morphologic abnormality
Subacute bacterial endocarditis prophylaxis	C0038519	procedure
Smoke inhalation injury	C0037367	disorder
Aphthous ulcer of mouth	C0038363	disorder
Mild persistent asthma	C1960046	disorder
Active tuberculosis	C0151332	disorder
Moderate persistent asthma	C1960047	disorder
Closed posterior dislocation of elbow	C0159931	disorder
Sedative dependence	C0270380	disorder
Solitary nodule of lung	C1960053	finding
Transformed migraine	C1960870	disorder
Near syncope	C0700200	disorder
Flaccid neurogenic bladder	C1389941	finding
Intermittent asthma	C1740754	disorder
Paroxysmal atrial flutter	C0741292	disorder
Mild intermittent asthma	C1960045	disorder
Mass of shoulder region	C1997795	finding
History of operative procedure on knee	C1997395	situation
Infection of amputation stump	C0392042	disorder
Complication of urinary catheter	C1997194	disorder
Primary focal hyperhidrosis	C1456132	disorder
Family history of malignant melanoma	C1996990	situation
Snapping thumb syndrome	C0410060	disorder
History of augmentation of breast	C1996954	situation
Chronic recurrent sinusitis	C1997034	disorder
Diverticulitis of sigmoid colon	C1997972	disorder
Chronic ulcer of ankle	C1997585	disorder
History of tympanostomy	C1998121	situation
Subclinical hyperthyroidism	C1998045	disorder
Erectile dysfunction associated with type 2 diabetes mellitus	C1997651	disorder
History of malignant basal cell neoplasm of skin	C1997258	situation
Adenomatous polyp of colon	C0850572	disorder
Malignant neoplasm of brain	C0153633	disorder
History of repair of coarctation of aorta	C1997029	situation
History of repair of musculotendinous cuff of shoulder	C1997157	situation
History of repair of inguinal hernia	C1997146	situation
History of total hysterectomy	C1998419	situation
History of transurethral prostatectomy	C1997308	situation
Mass of urinary bladder	C0238775	finding
Major depression in remission	C0270461	disorder
Hypertensive left ventricular hypertrophy	C1997092	disorder
Chronic hypoxemic respiratory failure	C1997318	disorder
Closed fracture of navicular bone of wrist	C0435644	disorder
Traumatic tear of skin	C0877377	disorder
History of appendectomy	C1998241	situation
Fracture of tibial plateau	C0262489	disorder
History of malignant neoplasm of prostate	C1998449	situation
Malignant neoplasm of bone	C0279530	disorder
History of polyp of colon	C1997022	situation
History of percutaneous transluminal coronary angioplasty	C1997946	situation
Anemia due to medication	C1997376	disorder
History of bilateral mastectomy	C1998257	situation
History of carotid endarterectomy	C1997752	situation
History of cataract extraction	C1997701	situation
History of radical retropubic prostatectomy	C1997711	situation
History of laser assisted in situ keratomileusis	C1997165	situation
History of reduction of breast	C1997419	situation
Arthropathy of lumbar facet joint	C1997954	disorder
Fistula	C0016169	disorder
Closed fracture of tibial plateau	C1998255	disorder
Insertion of stent into ureter	C1997317	procedure
History of decompression of median nerve	C1997189	situation
Mixed rhinitis	C1998267	disorder
History of cholecystectomy	C1997098	situation
Rupture of tendon of biceps	C0347952	disorder
Asymmetrical sensorineural hearing loss	C1719455	disorder
History of thyroidectomy	C1997520	situation
Malignant neoplasm of gastrointestinal tract	C0685938	disorder
History of placement of stent in anterior descending branch of left coronary artery	C1997319	situation
